"Temperature","Chill_response","Heat_response","species","cultivar","fit","n_cal"
23.3,0,0.496063172750366,"Almond","Achaak","single","scarce"
23.4,0,0.488989090894126,"Almond","Achaak","single","scarce"
23.5,0,0.481949451469237,"Almond","Achaak","single","scarce"
23.6,0,0.474944728951476,"Almond","Achaak","single","scarce"
23.7,0,0.467975395463198,"Almond","Achaak","single","scarce"
23.8,0,0.46104192074152,"Almond","Achaak","single","scarce"
23.9,0,0.454144772106654,"Almond","Achaak","single","scarce"
24,0,0.447284414430414,"Almond","Achaak","single","scarce"
24.1,0,0.440461310104884,"Almond","Achaak","single","scarce"
24.2,0,0.433675919011247,"Almond","Achaak","single","scarce"
24.3,0,0.426928698488794,"Almond","Achaak","single","scarce"
24.4,0,0.420220103304099,"Almond","Achaak","single","scarce"
24.5,0,0.413550585620364,"Almond","Achaak","single","scarce"
24.6,0,0.406920594966945,"Almond","Achaak","single","scarce"
24.7,0,0.400330578209053,"Almond","Achaak","single","scarce"
24.8,0,0.393780979517636,"Almond","Achaak","single","scarce"
24.9,0,0.38727224033944,"Almond","Achaak","single","scarce"
25,0,0.380804799367259,"Almond","Achaak","single","scarce"
25.1,0,0.374379092510358,"Almond","Achaak","single","scarce"
25.2,0,0.367995552865106,"Almond","Achaak","single","scarce"
25.3,0,0.361654610685772,"Almond","Achaak","single","scarce"
25.4,0,0.355356693355532,"Almond","Achaak","single","scarce"
25.5,0,0.349102225357664,"Almond","Achaak","single","scarce"
25.6,0,0.342891628246935,"Almond","Achaak","single","scarce"
25.7,0,0.336725320621188,"Almond","Achaak","single","scarce"
25.8,0,0.33060371809313,"Almond","Achaak","single","scarce"
25.9,0,0.324527233262319,"Almond","Achaak","single","scarce"
26,0,0.318496275687353,"Almond","Achaak","single","scarce"
26.1,0,0.312511251858265,"Almond","Achaak","single","scarce"
26.2,0,0.306572565169131,"Almond","Achaak","single","scarce"
26.3,0,0.300680615890874,"Almond","Achaak","single","scarce"
26.4,0,0.29483580114429,"Almond","Achaak","single","scarce"
26.5,0,0.289038514873277,"Almond","Achaak","single","scarce"
26.6,0,0.283289147818291,"Almond","Achaak","single","scarce"
26.7,0,0.277588087490001,"Almond","Achaak","single","scarce"
26.8,0,0.271935718143178,"Almond","Achaak","single","scarce"
26.9,0,0.266332420750789,"Almond","Achaak","single","scarce"
27,0,0.260778572978326,"Almond","Achaak","single","scarce"
27.1,0,0.255274549158347,"Almond","Achaak","single","scarce"
27.2,0,0.249820720265246,"Almond","Achaak","single","scarce"
27.3,0,0.24441745389025,"Almond","Achaak","single","scarce"
27.4,0,0.239065114216644,"Almond","Achaak","single","scarce"
27.5,0,0.233764061995222,"Almond","Achaak","single","scarce"
27.6,0,0.228514654519977,"Almond","Achaak","single","scarce"
27.7,0,0.223317245604012,"Almond","Achaak","single","scarce"
27.8,0,0.218172185555701,"Almond","Achaak","single","scarce"
27.9,0,0.213079821155072,"Almond","Achaak","single","scarce"
28,0,0.208040495630435,"Almond","Achaak","single","scarce"
28.1,0,0.203054548635252,"Almond","Achaak","single","scarce"
28.2,0,0.198122316225238,"Almond","Achaak","single","scarce"
28.3,0,0.193244130835715,"Almond","Achaak","single","scarce"
28.4,0,0.188420321259206,"Almond","Achaak","single","scarce"
28.5,0,0.18365121262327,"Almond","Achaak","single","scarce"
28.6,0,0.178937126368593,"Almond","Achaak","single","scarce"
28.7,0,0.17427838022732,"Almond","Achaak","single","scarce"
28.8,0,0.169675288201639,"Almond","Achaak","single","scarce"
28.9,0,0.165128160542621,"Almond","Achaak","single","scarce"
29,0,0.160637303729303,"Almond","Achaak","single","scarce"
29.1,0,0.156203020448039,"Almond","Achaak","single","scarce"
29.2,0,0.151825609572089,"Almond","Achaak","single","scarce"
29.3,0,0.147505366141483,"Almond","Achaak","single","scarce"
29.4,0,0.143242581343131,"Almond","Achaak","single","scarce"
29.5,0,0.139037542491199,"Almond","Achaak","single","scarce"
29.6,0,0.134890533007742,"Almond","Achaak","single","scarce"
29.7,0,0.130801832403601,"Almond","Achaak","single","scarce"
29.8,0,0.126771716259567,"Almond","Achaak","single","scarce"
29.9,0,0.122800456207802,"Almond","Achaak","single","scarce"
30,0,0.118888319913535,"Almond","Achaak","single","scarce"
30.1,0,0.115035571057019,"Almond","Achaak","single","scarce"
30.2,0,0.111242469315759,"Almond","Achaak","single","scarce"
30.3,0,0.107509270347009,"Almond","Achaak","single","scarce"
30.4,0,0.103836225770545,"Almond","Achaak","single","scarce"
30.5,0,0.100223583151697,"Almond","Achaak","single","scarce"
30.6,0,0.0966715859846724,"Almond","Achaak","single","scarce"
30.7,0,0.0931804736761376,"Almond","Achaak","single","scarce"
30.8,0,0.0897504815290847,"Almond","Achaak","single","scarce"
