"species","cultivar","yday","year","split","ncal","location","loc.year"
"Almond","Ferragnes",64,2010,"Validation","scarce","Meknes","Meknes.2010"
"Almond","Ferragnes",72,2012,"Validation","scarce","Meknes","Meknes.2012"
"Almond","Ferragnes",62,2013,"Validation","scarce","Meknes","Meknes.2013"
"Almond","Ferragnes",61,2014,"Validation","scarce","Meknes","Meknes.2014"
"Almond","Marcona",41,1977,"Validation","scarce","Meknes","Meknes.1977"
"Almond","Marcona",43,1979,"Validation","scarce","Meknes","Meknes.1979"
"Almond","Marcona",45,1980,"Validation","scarce","Meknes","Meknes.1980"
"Almond","Marcona",48,1981,"Validation","scarce","Meknes","Meknes.1981"
"Almond","Marcona",49,1982,"Validation","scarce","Meknes","Meknes.1982"
"Almond","Marcona",50,1983,"Validation","scarce","Meknes","Meknes.1983"
"Almond","Marcona",64,1984,"Validation","scarce","Meknes","Meknes.1984"
"Almond","Marcona",56,1987,"Validation","scarce","Meknes","Meknes.1987"
"Almond","Marcona",53,1989,"Validation","scarce","Meknes","Meknes.1989"
"Almond","Marcona",51,1990,"Validation","scarce","Meknes","Meknes.1990"
"Almond","Marcona",51,1991,"Validation","scarce","Meknes","Meknes.1991"
"Almond","Marcona",63,1993,"Validation","scarce","Meknes","Meknes.1993"
"Almond","Marcona",60,1994,"Validation","scarce","Meknes","Meknes.1994"
"Almond","Marcona",61,1995,"Validation","scarce","Meknes","Meknes.1995"
"Almond","Marcona",62,1996,"Validation","scarce","Meknes","Meknes.1996"
"Almond","Marcona",64,1999,"Validation","scarce","Meknes","Meknes.1999"
"Almond","Marcona",38,2000,"Validation","scarce","Meknes","Meknes.2000"
"Almond","Marcona",36,2001,"Validation","scarce","Meknes","Meknes.2001"
"Almond","Marcona",43,2003,"Validation","scarce","Meknes","Meknes.2003"
"Almond","Marcona",46,2004,"Validation","scarce","Meknes","Meknes.2004"
"Almond","Marcona",44,2005,"Validation","scarce","Meknes","Meknes.2005"
"Almond","Marcona",46,2006,"Validation","scarce","Meknes","Meknes.2006"
"Almond","Marcona",56,2007,"Validation","scarce","Meknes","Meknes.2007"
"Almond","Marcona",41,2009,"Validation","scarce","Meknes","Meknes.2009"
"Almond","Marcona",48,2010,"Validation","scarce","Meknes","Meknes.2010"
"Almond","Marcona",51,2012,"Validation","scarce","Meknes","Meknes.2012"
"Almond","Marcona",45,2013,"Validation","scarce","Meknes","Meknes.2013"
"Almond","Marcona",47,2014,"Validation","scarce","Meknes","Meknes.2014"
"Almond","Marta",43,2009,"Validation","scarce","Santomera","Santomera.2009"
"Almond","Marta",40,2013,"Validation","scarce","Santomera","Santomera.2013"
"Almond","Marta",58,2015,"Validation","scarce","Santomera","Santomera.2015"
"Almond","Marta",41,2020,"Validation","scarce","Santomera","Santomera.2020"
"Almond","Mazzetto",68,1981,"Validation","scarce","Sfax","Sfax.1981"
"Almond","Mazzetto",63,1986,"Validation","scarce","Sfax","Sfax.1986"
"Almond","Mazzetto",57,1987,"Validation","scarce","Sfax","Sfax.1987"
"Almond","Mazzetto",64,1991,"Validation","scarce","Sfax","Sfax.1991"
"Almond","Mazzetto",60,1995,"Validation","scarce","Sfax","Sfax.1995"
"Almond","Mazzetto",73,1996,"Validation","scarce","Sfax","Sfax.1996"
"Almond","Mazzetto",70,1998,"Validation","scarce","Sfax","Sfax.1998"
"Almond","Mazzetto",77,2003,"Validation","scarce","Sfax","Sfax.2003"
"Almond","Mazzetto",62,2004,"Validation","scarce","Sfax","Sfax.2004"
